x,y,z,u,v,w,p
0.532226,0,0.00909104,0.0207814,0.00165149,0.0259095,-1.91662
-0.536985,0,0.00909089,-0.10176,0.000124331,-0.17355,5.6966
0.5978,0,0.0181818,-0.360702,0.00100962,0.0744238,-1.97586
-0.621627,0,2.45E-09,-0.557592,0.000129321,-0.17579,5.34372
-0.602824,0,2.46E-09,-0.554077,0.000133394,-0.154605,5.47492
-0.546394,0,1.31E-09,-0.1634,0.00012953,-0.184746,5.70382
-0.536991,0,7.16E-10,-0.0816206,0.000107473,-0.15112,5.70577
0.541591,0,1.11E-09,-0.0135041,0.00123971,0.03437,-1.91831
0.550956,0,0.0181819,-0.094227,0.00134193,0.0640363,-1.91693
0.550958,0,1.34E-09,-0.0655037,0.00114621,0.041166,-1.92154
0.616535,0,3.22E-09,-0.429341,0.000990083,0.0678394,-2.00581
0.597797,0,1.91E-09,-0.334492,0.000895505,0.0621193,-1.97189
0.635342,0,1.96376,0.4746,-7.32E-05,0.151261,-2.80338
0.616631,0,1.96379,0.484329,0.000217984,0.143818,-2.80453
0.616644,0,1.98199,0.614902,0.000191484,0.096013,-2.77373
0.61664,0,2.00017,0.882333,-0.00212741,0.0597591,-2.71036
-0.621625,0,0.0363636,-0.401063,0.0203966,-0.277388,5.25556
-0.602821,0,0.0363636,-0.400951,-0.0223484,-0.278922,5.29991
-0.536986,0,0.0181818,-0.175905,0.000147781,-0.244198,5.62956
0.616534,0,0.0363637,-0.41679,-0.00650504,0.106924,-1.99211
0.597796,0,0.0363637,-0.39554,0.00116108,0.120001,-1.97769
-2.1336,0,0.0727273,2.2818,8.88E-05,0.00902649,1.93106
-1.90714,0,0.0727273,2.13505,9.59E-05,0.0107586,2.26381
-1.68174,0,0.0727273,1.94307,0.000144791,0.012289,2.66778
