x,y,z,u,v,w,p
0.6,-0.25,0.5,-0.216477,-0.365994,0.583177,-2.51795
0.6,-0.25,0.6,-0.188262,-0.347305,0.641086,-2.60493
0.6,-0.25,0.7,-0.163081,-0.326338,0.686223,-2.68813
0.6,-0.25,0.8,-0.138465,-0.303986,0.721325,-2.76397
0.6,-0.25,0.9,-0.11634,-0.282799,0.7466,-2.83291
0.6,-0.25,1,-0.0951377,-0.261733,0.762588,-2.89218
0.6,-0.25,1.1,-0.0757322,-0.240225,0.768235,-2.94147
0.6,-0.25,1.2,-0.0565775,-0.218535,0.765135,-2.97966
0.6,-0.25,1.3,-0.0397653,-0.198352,0.752631,-3.00823
0.6,-0.25,1.4,-0.0229178,-0.178372,0.731074,-3.02581
0.6,-0.25,1.5,-0.00607753,-0.159036,0.698548,-3.03243
0.6,-0.25,1.6,0.0120606,-0.142536,0.654436,-3.02828
0.6,-0.25,1.7,0.0311918,-0.132869,0.594203,-3.01472
0.6,-0.25,1.8,0.0560135,-0.130471,0.507444,-2.98735
0.6,-0.25,1.9,0.116926,-0.129144,0.364179,-2.93228
0.6,-0.25,2,1.03814,0.0449737,-0.00321778,-2.7063
0.6,-0.25,2.1,2.23125,0.117088,-0.0338445,-2.64688
0.6,-0.25,2.2,3.09836,0.0565508,-0.0633921,-2.67226
0.6,-0.25,2.3,3.9036,0.0126392,-0.0349452,-2.62731
0.6,-0.25,2.4,4.48163,-0.00676319,0.0165748,-2.52174
0.6,-0.25,2.5,4.81558,-0.0126203,0.0604041,-2.37678
0.75,-0.25,0.1,-0.751193,-0.238961,0.107559,-2.56641
0.75,-0.25,0.2,-0.668183,-0.246258,0.197123,-2.58741
0.75,-0.25,0.3,-0.599315,-0.245424,0.269814,-2.62952
0.75,-0.25,0.4,-0.526397,-0.245537,0.33678,-2.66475
0.75,-0.25,0.5,-0.477336,-0.229754,0.383667,-2.74025
0.75,-0.25,0.6,-0.419818,-0.218357,0.427052,-2.79586
0.75,-0.25,0.7,-0.363945,-0.205041,0.462854,-2.84808
0.75,-0.25,0.8,-0.302556,-0.194352,0.497295,-2.88268
0.75,-0.25,0.9,-0.259707,-0.174745,0.513249,-2.93854
0.75,-0.25,1,-0.209919,-0.159059,0.527505,-2.97351
0.75,-0.25,1.1,-0.1621,-0.142472,0.535037,-3.00121
0.75,-0.25,1.2,-0.11079,-0.127865,0.540629,-3.00989
0.75,-0.25,1.3,-0.0721967,-0.108054,0.528341,-3.03161
0.75,-0.25,1.4,-0.0268021,-0.0908661,0.513333,-3.03368
0.75,-0.25,1.5,0.0206388,-0.073326,0.489661,-3.02691
0.75,-0.25,1.6,0.0773413,-0.058615,0.457574,-3.00181
0.75,-0.25,1.7,0.135951,-0.0433304,0.403849,-2.98722
0.75,-0.25,1.8,0.237593,-0.0360175,0.325097,-2.94861
0.75,-0.25,1.9,0.486996,-0.0244782,0.183094,-2.87447
0.75,-0.25,2,1.33702,0.0587939,-0.0248601,-2.72218
0.75,-0.25,2.1,2.35105,0.112388,-0.0634619,-2.64405
0.75,-0.25,2.2,3.1516,0.0743264,-0.0804256,-2.59922
0.75,-0.25,2.3,3.87395,0.0346752,-0.0664431,-2.53107
0.75,-0.25,2.4,4.424,0.0125905,-0.0311243,-2.42361
0.75,-0.25,2.5,4.76289,0.00423061,0.00673532,-2.28874
1.25,-0.25,0.1,-1.18704,-0.0435067,0.0345295,-2.75254
1.25,-0.25,0.2,-1.10357,-0.0419398,0.0630205,-2.75701
1.25,-0.25,0.3,-0.98606,-0.0502893,0.0885199,-2.76209
1.25,-0.25,0.4,-0.858874,-0.0603725,0.11268,-2.76925
1.25,-0.25,0.5,-0.793794,-0.0509106,0.122423,-2.80417
1.25,-0.25,0.6,-0.712738,-0.0439623,0.12966,-2.83392
1.25,-0.25,0.7,-0.604753,-0.0432863,0.141772,-2.84785
1.25,-0.25,0.8,-0.487784,-0.0439012,0.156103,-2.85189
1.25,-0.25,0.9,-0.41781,-0.028683,0.149629,-2.87854
1.25,-0.25,1,-0.336013,-0.0159577,0.144439,-2.89365
1.25,-0.25,1.1,-0.233023,-0.00891794,0.147198,-2.8894
1.25,-0.25,1.2,-0.12102,-0.00286388,0.151655,-2.87336
1.25,-0.25,1.3,-0.0428555,0.016367,0.13281,-2.87722
1.25,-0.25,1.4,0.0507436,0.0342928,0.114865,-2.86959
1.25,-0.25,1.5,0.17358,0.0484948,0.100585,-2.84238
1.25,-0.25,1.6,0.327516,0.0616443,0.0808006,-2.80166
1.25,-0.25,1.7,0.495276,0.0859143,0.0334033,-2.77988
1.25,-0.25,1.8,0.765988,0.106783,-0.0279477,-2.74232
1.25,-0.25,1.9,1.21602,0.117365,-0.103356,-2.67366
1.25,-0.25,2,1.8776,0.12707,-0.178202,-2.56663
1.25,-0.25,2.1,2.61268,0.134871,-0.204996,-2.48463
1.25,-0.25,2.2,3.28199,0.113829,-0.20362,-2.39061
1.25,-0.25,2.3,3.87242,0.080617,-0.184112,-2.27249
1.25,-0.25,2.4,4.34323,0.0534559,-0.150852,-2.1489
1.25,-0.25,2.5,4.66484,0.0392023,-0.117692,-2.03559
